,question_text,option_A,option_B,option_C,option_D,answer,explanation,option_E
88,India's tallest stone statue of the Jain sage Gomateswara is at,New Delhi,"Mandu, Madhya Pradesh","Sravanabelagola, Karnataka","Mysore, Karnakata","Sravanabelagola, Karnataka","India's tallest stone statue of the Jain sage Gomateswara is at Sravanabelagola, Karnataka. Shravanabelagola (Śravaṇa Beḷagoḷa) is a town located near Channarayapatna of Hassan district in the Indian state of Karnataka.",
89,"In 1945, fifty nations met to phrase the basic charter for a world organization which would ""save succeeding generations from the scourge of war"". This conference took place at",Yalta,London,San Francisco,Dumbarton Oaks,San Francisco,"In 1945, fifty nations met to phrase the basic charter for a world organization which would ""save succeeding generations from the scourge of war"". This conference took place at San Francisco.",
90,"In a normal human body, the total number of red blood cells is",15 trillion,20 trillion,25 trillion,30 trillion,30 trillion,"In a normal human body, the total number of red blood cells is 30 trillion. Women have roughly 4 to 5 million red blood cells per microliter of blood, whereas men have about 5 to 6 million per microliter of blood. Red blood cells comprise approximately 70% of total human body cell number.",
91,INS Venduruthy is located at,Kochi,Mumbai,Lonavla,Jamnagar,Kochi,"INS Venduruthy is an Indian Navy base located on Willingdon Island in Kochi, Kerala. It serves as the Headquarters of the Southern Naval Command.",
92,In which season do we need more fat?,Spring,Winter,Summer,Rainy season,Winter,"In Winter season we need more fat. Researchers suggest that we have a natural tendency to overeat in the winter because, historically, food was more scarce.",
93,How much districts are there in Punjab?,14,16,22,21,22,"There are 22 districts in Punjab. The districts listed are: Amritsar, Bathinda, Faridkot, Firozpur, Fatehgarh Sahib, Kapurthala, Gurdaspur, Hoshiarpur, Jalandhar, Ludhiana, Mansa, Moga, Muktsar, Nawanshahr, Patiala, Rupnagar, Sangrur, and Tarn Taran.",
94,India participated in Olympics Hockey in,1918,1928,1938,1948,1928,"India participated in Olympics Hockey in 1928. The 1928 Olympics in Amsterdam, when India won the gold, was the country's first step towards ascending the hockey throne.",
95,"If force is expressed in Newton and the distance in metre, then the work done is expressed in",Joule,Kg wt m,Kg wt,Watt,Joule,"If force is expressed in Newton and the distance in metre, then the work done is expressed in Joule. Work done is expressed in force divided by distance. SI unit is joule.",
96,How many teeth does a normal adult dog have?,32,34,38,42,42,"Adult dogs have 42 permanent teeth compared to a measly 32 average human teeth (not counting any wisdom teeth. Those are ""bonus""). Puppies possess 28 baby teeth while human babies will have 20 deciduous or “baby” teeth.",
97,How many red blood cells does the bone marrow produce every second?,5 million,7 million,10 million,12 million,10 million,10 million red blood cells the bone marrow produce every second. The formation of a red blood cell from hemocytoblast takes about 2 days. The body makes about two million red blood cells every second.,
98,How many times has Brazil won the World Cup Football Championship?,Once,Twice,Four times,Five times,Five times,"Brazil have won five times, and they are the only team to have played in every tournament. The other World Cup winners are Germany and Italy, with four titles each; Argentina, France and inaugural winner Uruguay, with two titles each; and England and Spain with one title each.",
99,"If speed of rotation of the earth increases, weight of the body",increases,decreases,remains unchanged,may decrease or increase,decreases,"If speed of rotation of the earth increases, weight of the body decreases. This is because you see a moving body on the rotating earth's surface itself is in the reference frame. So when the earth rotates, the centripetal force acts towards the centre of rotation.",
100,"In August, 1996 at Kolar(near Bangalore), India made successful test flights of Unmanned Air Vehicle (UAV) named",Arjun,Nishant,Lakshya,Vijayanta,Nishant,"In August, 1996 at Kolar(near Bangalore), India made successful test flights of Unmanned Air Vehicle (UAV) named Nishant. The DRDO Nishant was an Unmanned Aerial Vehicle (UAV) developed by India's ADE (Aeronautical Development Establishment), a branch of DRDO (Defence Research and Development Organisation) for the Indian Armed Forces.",
101,IDA stands for,Indian Development Agency,Industrial Development Analyses,International Development Agency,None of the above,International Development Agency,"IDA stands for International Development Agency. The International Development Association (IDA) is the part of the World Bank that helps the world’s poorest countries. It was established in 1960 to complement the existing International Bank for Reconstruction and Development (IBRD) by lending to developing countries which suffer from the lowest gross national income, from troubled creditworthiness, or from the lowest per capita income.",
102,Indira Gandhi was assassinated in,1974,1984,1994,2004,1984,"Indira Gandhi was assassinated in 1984. On 31 October 1984, Indira Gandhi, Prime Minister of India, was killed by her Sikh bodyguards. The assassination sparked four days of riots that left more than 8,000 Indian Sikhs dead in revenge attacks.",
103,India's first nuclear blast at Pokhran in Rajasthan took place in,1984,1974,1964,1954,1974,"India's first nuclear blast at Pokhran in Rajasthan took place in 1974. The bomb was detonated on the army base Pokhran Test Range (PTR), in Rajasthan, by the Indian Army under the supervision of several key Indian generals.",
104,How many players are there on each side in the game of Basketball?,4,5,6,7,5,"Basketball is a team sport where two teams, usually consisting of five players on each team, play against each other on a rectangular court.",
105,"In a normal human being, how much time does food take to reach the end of the intestine for complete absorption?",About 8 hours,About 10 hours,About 12 hours,About 16 hours,About 12 hours,"In a normal human being, food take about 12 hours to reach the end of the intestine for complete absorption. Food then enters your large intestine (colon) for further digestion, absorption of water and, finally, elimination of undigested food.",
106,In certain diseases antibiotics are administered. The object is,inhibit the growth of bacteria,produce toxins against bacteria,stimulate production of antibodies,stimulate production of white blood cells for fighting the disease,inhibit the growth of bacteria,"In certain diseases antibiotics are administered. The object is inhibit the growth of bacteria. An antimicrobial is a substance that kills or inhibits the growth of microorganisms such as bacteria, fungi, or protozoans. Antimicrobial drugs either kill microbes (microbiocidal) or prevent the growth of microbes (microbiostatic).",
107,"In cricket, the two sets of wickets are",18 yards apart,20 yards apart,22 yards apart,24 yards apart,22 yards apart,"In cricket, the two sets of wickets are 22 yards apart.",
108,India's first indigenous helicopter was successfully flown in Bangalore on,"August 30, 1992","August 30, 1982","August 30, 1990",None of the above,"August 30, 1992","India's first indigenous helicopter was successfully flown in Bangalore on August 30, 1992. The country's first indigenous chopper, Advanced Light Helicopter (ALH -Dhruv), designed, developed, produced and maintained by Hindustan Aeronautics Ltd to meet the requirement of military and civil operators, today achieved a new milestone of clocking one lakh cumulative flying hours.",
109,In which of the followings places was the last Winter Olympics Games held?,Lillehammer,Albertville,Salt Lake City (USA),Vancouver,Vancouver,"In Vancouver, the last Winter Olympics Games held. The city of Vancouver was elected host city of the XXI Olympic Winter Games in 2010 at the 115th IOC Session in Prague on 2 July 2003.",
110,Hundred year war was fought between,France and England,Civil war in England,Greek and Persian forces,None of the above,France and England,"Hundred year war was fought between France and England during the late Middle Ages. It lasted 116 years from 1337 to 1453. The war started because Charles IV of France died in 1328 without an immediate male heir (i.e., a son or younger brother).",
111,"In which of the following pairs, the two substances forming the pair are chemically most dissimilar?",Sugar and paper,Chalk and marble,Butter and paraffin wax,Charcoal and diamond,Butter and paraffin wax,"In Butter and paraffin wax, the two substances forming the pair are chemically most dissimilar. Butter is an unsaturated compound or an olefin in contrast to wax which is a saturated compound. So butter will show more reactivity for reactants. As such, they show different chemical nature.",
112,India's Integrated Missiles Development Programme was started in ____ under the chairmanship of Dr. A.P.J. Abdul Kalam.,1979-80,1980-81,1981-82,1982-83,1982-83,"India's Integrated Missiles Development Programme was started in 1982-83 under the chairmanship of Dr. A.P.J. Abdul Kalam. On 8 January 2008, the DRDO formally announced the successful completion of the IGMDP.",
113,INS Agrani (Petty Officers' School) is situated at,Lonavla,Coimbatore,Mumbai,Jamnagar,Coimbatore,"INS Agrani (Petty Officers' School) is situated at Coimbatore. Indian Naval Station Agrani is a leadership training establishment of the Indian Navy, it comes under the Eastern Naval Command and conducts courses for middle level sailors. This station was commissioned in 1965.",
114,Hybridization is,decayed vegetable matter,a process of tilling the land,cross-fertilization between two varieties,downward movement of water through soil,cross-fertilization between two varieties,"Hybridization is cross-fertilization between two varieties. Hybridization refers to the natural or deliberate pollination between two plants. It occurs all the time in the wild as many plants are cross-pollinated and when the pollen from one plant lands on the stigma of another plant, and if fertilization is successful in producing seed, then hybridization has occurred.",
115,"In which world cup cricket final, Australia beat England?","1983, Lord's - England","1987, Kolkata - India","1992, Melbourne - Australia","1996, Lahore - Pakistan","1987, Kolkata - India","In 1987, Kolkata - India world cup cricket final, Australia beat England. The final of the Reliance World Cup was played in Eden Gardens, Calcutta on Sunday 8 November 1987. The match was won by Australia who defeated England by 7 runs to lift their first ever World Cup trophy. This was the first Cricket World Cup final to be played outside England.",
116,India is the ____ grower of pulses.,largest,smallest,appropriate for national need,None of the above,largest,"India is the largest grower of pulses. Madhya Pradesh is India's largest pulse producing state, which accounts for 23% of total pulse production in the country. Madhya Pradesh is followed by Uttar Pradesh (18%), Maharashtra (14%), Rajasthan (11%) and Andhra Pradesh (9%).",
117,"In cricket, a run taken when the ball passes the batsman without touching his bat or body is called",leg bye,bosie,bye,drive,bye,"In cricket, a run taken when the ball passes the batsman without touching his bat or body is called bye. A bye is a run scored by the batting team when the ball has not been hit by the batsman and the ball has not hit the batsman's body.",
118,How many non-permanent Security Council (UNO) members are from Afro-Asian countries?,1,2,5,15,5,5 non-permanent Security Council (UNO) members are from Afro-Asian countries.,
119,"Indira Gandhi Centre for Atomic Research, established in 1971, is located at",Kolkata,"Trombay, Maharashtra","Kalpakkam, Chennai",Indore,"Kalpakkam, Chennai","Indira Gandhi Centre for Atomic Research, established in 1971, is located at Kalpakkam, Chennai. Indira Gandhi Centre for Atomic Research (IGCAR) is one of India's premier nuclear research centres. It is the second largest establishment of the Department of Atomic Energy (DAE), next to Bhabha Atomic Research Centre (BARC), located at Kalpakkam, 80 km south of Chennai, India. It was established in 1971 as an exclusive centre dedicated to the pursuit of fast reactor science and technology, due to the vision of Dr. Vikram Sarabhai.",
120,In which year did Sir Edmund Hillary reach the summit of Mount Everest?,1952,1953,1954,1955,1953,"Edmund Percival Hillary, born in Auckland New Zealand in the year 1919, was the first to reach the summit of Mount Everest together with Sherpa Tenzing Norgay on May 29, 1953.A man with a heart !! Died on the 11 January 2008, a sad loss to New Zealand.",
121,India's first fast breeder neutron reactor was,Purnima-I,Zerlina,Apsara,Kamini,Kamini,"India's first fast breeder neutron reactor was Kamini. KAMINI (Kalpakkam Mini reactor) is a research reactor at Indira Gandhi Center for Atomic Research in Kalpakkam, India. It achieved criticality on October 29, 1996.",
122,India's first atomic power station was set up at,Surat (Gujarat),Tarapur (Maharashtra),Solapur (Maharashtra),Trombay (Maharashtra),Tarapur (Maharashtra),"India's first atomic power station was set up at Tarapur (Maharashtra), is the oldest nuclear power plant in India. The power station comprises two 120MW boiling water reactor (BWR) units commissioned in October 1969 and two pressurised heavy water reactor (PHWR) units commissioned between 2005 and 2006.",
123,How many Ergs are there in 1 joule?,102,104,106,107,107,1 Joule = 1 Newton × 1 m displacement = 105 dyne × 100 cm displacement = 107 ergs.1 Joule = 107 ergs.,
124,"In 1943, Franklin D. Roosevelt, Winston Churchill and Joseph Stalin met at Teheran primarily",to work out a common line of action against Japan,for creating an effective instrument for maintaining international peace,to discuss the strategy to be adopted by the Allies to invade Germany,to consider a common plan of action by the Allies forces against the axis powers,for creating an effective instrument for maintaining international peace,"In 1943, Franklin D. Roosevelt, Winston Churchill and Joseph Stalin met at Teheran primarily for creating an effective instrument for maintaining international peace.",
125,"Innocent III, who became pope in 1198 led",the first crusade,the second crusade,the third crusade,the fourth crusade,the fourth crusade,"Innocent III, who became pope in 1198 led the fourth crusade. The Fourth Crusade (1202-1204 CE) was called by Pope Innocent III (r. 1198-1216 CE) to retake Jerusalem from its current Muslim overlords.",
126,In which year a resolution 'Uniting for Peace' was adopted by UN General Assembly?,1950,1960,1965,1980,1950,"In 1950 a resolution 'Uniting for Peace' was adopted by UN General Assembly. The Uniting for Peace resolution was initiated by the United States, and submitted by the ""Joint Seven-Powers"" in October 1950, as a means of circumventing further Soviet vetoes during the course of the Korean War (25 June 1950 – 27 July 1953). It was adopted by 52 votes to 5, with 2 abstentions.",
127,In which of the following organs of human body does maximum absorption of food take place?,Gullet,Large intestine,Small intestine,Stomach,Small intestine,In Small intestine of human body does maximum absorption of food take place. The small intestine or small bowel is an organ in the gastrointestinal tract where most of the end absorption of nutrients and minerals from food takes place.,
128,Human Rights Day is on,24 February,10 December,15 May,21 July,10 December,"Human Rights Day is on 10 December. This day is celebrated internationally to honor 10th Dec 1948, when the United Nations adopted the Universal Declaration of Human Rights at Palais de Challoit, Paris after the experience of the Second World War.",
129,"In the 2002 World Cup Hockey Finals, Germany beat ____",India,Australia,Pakistan,Spain,Australia,"In the 2002 World Cup Hockey Finals, Germany beat Australia. The 2002 Men's Hockey World Cup was the 10th edition of the Hockey World Cup, a men's field hockey tournament. It was held from 24 February to 9 March 2002 in Kuala Lumpur, Malaysia. Germany won their first title after defeating Australia 2–1 in the final.",
130,How much of blood does the normal human heart on each of its contraction pump into the arteries?,30 cm3,40 cm3,50 cm3,60 cm3,60 cm3,The normal human heart on each of its contraction pumps 60 cm3 of blood into the arteries.,
131,Hygrometer is used to measure,purity of milk,relative humidity,specific gravity of liquid,None of the above,relative humidity,Hygrometer is used to measure relative humidity. Humidity is the measure of the amount of moisture in the air. A psychrometer is an example of a hygrometer.,
132,India became a member of the United Nations in,1945,1947,1959,1960,1945,"India became a member of the United Nations in 1945. India is a founding member of the United Nations. On June 26, 1945, India was among 50 countries to sign the UN charter. India joined the United Nations after ratifying the UN Charter on October 30, 1945.",
133,India has,largest turmeric production,largest tea production,largest ginger production,All of the above,All of the above,"India has largest turmeric production, largest tea production and largest ginger production.",
134,India's first indigenously built submarine was,INS Delhi,INS Vibhuti,INS Shalki,INS Savitri,INS Shalki,INS Shalki (S46) is a Shishumar-class diesel-electric submarine of the Indian Navy. The submarine was the first ever submarine to be built in India. It was launched in 1987 by the late Prime Minister Rajiv Gandhi.,
135,How many medals came into the account of India during the 2002 Commonwealth Games at Manchester?,24,16,32,69,69,"69 medals came into the account of India during the 2002 Commonwealth Games at Manchester. India won unprecedented 69 medals including 30 gold, 22 silver and 17 bronze and were fourth in the medal tally.",
136,If the plane of the earth's equator were not inclined to the plane of the earth's orbit,the year would be longer,the winters would be longer,the summers would be warmer,there would be no change of seasons,there would be no change of seasons,"If the plane of the earth's equator were not inclined to the plane of the earth's orbit there would be no change of seasons. When tilted, the hemisphere closer to the sun would experience summer, while the hemisphere that is relatively farther away would experience winter. If the earth were not tilted, the whole planet would be relatively equidistant from the sun, and hence, no seasons.",
137,India played its first cricket Test Match in,1922,1932,1942,1952,1932,"India played its first cricket Test Match in 1932. India was invited to The Imperial Cricket Council in 1926, and made their debut as a Test playing nation in England in 1932, led by CK Nayudu, who was considered as the best Indian batsman at the time. The one-off Test match between the two sides was played at Lord's in London.",
138,India has been represented as a non-permanent member of the Security Council (UNO) during,1972-73,1984-85,1991-92,All of the above,All of the above,"India has been represented as a non-permanent member of the Security Council (UNO) during 1972-73, 1984-85 and 1991-92.",
139,How many Lok Sabha seats does Goa have?,2,5,7,11,2,"Goa have two Lok Sabha seats. South Goa Lok Sabha constituency (formerly, Mormugao Lok Sabha constituency) is one of two Lok Sabha (parliamentary) constituencies in Goa in western India along with North Goa.",
140,"In Air Force, Air Commodore has one rank higher than",Air Vice-Marshal,Air Marshal,Group Captain,Squadron Leader,Group Captain,"In Air Force, Air Commodore has one rank higher than Group Captain. Air commodore is a one-star rank and the most junior air officer rank, being immediately senior to group captain and immediately subordinate to air vice-marshal. It has a NATO ranking code of OF-6 and is equivalent to a commodore in the Royal Navy or a brigadier in the British Army or the Royal Marines.",
141,How much districts are there in Tamil Nadu?,25,28,30,33,33,There are 33 districts in Tamil Nadu.,
142,How much districts are there in Meghalaya?,5,7,9,11,11,Meghalaya currently has 11 districts.,
143,How many Dynes are there in 1 gram weight?,250,375,981,900,981,There are 981 dynes in one gram weight. Dyne is a CGS unit.,
144,"In big cities like Delhi, Kolkata, Mumbai, Chennai police is headed by a",Commissioner of Police,Inspector General of Police,Deputy Inspector General of Police,None of the above,Commissioner of Police,"In big cities like Delhi, Kolkata, Mumbai, Chennai police is headed by a Commissioner of Police. Police commissioners serve their communities by overseeing police departments, either as sworn officers or as civilians selected to sit on a board of police commissioners.",
145,Indian Institute of Petroleum is located at,Kolkata,Dehradun,New Delhi,Dhanbad,Dehradun,Indian Institute of Petroleum is located at Dehradun. Indian Institute of Petroleum is situated in Dehradun in Uttarakhand state of India. It is established in 1960.,
146,In which of the following team events India got a Gold Medal at the 2002 Asian Games?,Kabaddi,Hockey,4 x 200 m Relay,4 x 100 m Relay,Kabaddi,In Kabaddi India got a Gold Medal at the 2002 Asian Games. Jagdish Kumble is an Indian professional kabaddi player and coach. He was member of the India national kabaddi team that won Asian games gold medals in 2002 which was held at Busan.,
147,"In which year during World War I, USA declared war on Germany, Britain defeated Turkey and captured Baghdad and Jerusalem?",1917,1918,1919,1920,1917,"In 1917 during World War I, USA declared war on Germany, Britain defeated Turkey and captured Baghdad and Jerusalem.",
148,"In 1947, Algeria became politically unified with France but the 80 percent population revolted against French domination",Hindu,Muslim,Christian,Jain,Muslim,"In 1947, Algeria became politically unified with France but the 80 percent population revolted against French domination Muslim.",
149,"In UNO, the new members are admitted to the General Assembly on the recommendation of ____ and ____ the members of the General Assembly should vote in favour.",Security Council; one-third,Security Council; two-third,International Court of Justice; one-third,International Court of Justice; two-thirds,Security Council; two-third,"In UNO, the new members are admitted to the General Assembly on the recommendation of Security Council and two-third of the members of the General Assembly should vote in favour.",
150,Squadron leader Rakesh Sharma was India's first man to go into space. He was ____ cosmonaut to be in space in the world.,12th,107th,139th,151st,139th,"Squadron leader Rakesh Sharma was India's first man to go into space. He was 139th cosmonaut to be in space in the world. Sharma progressed through numerous levels and in 1984, he was appointed as a squadron leader and pilot in the Indian Air Force. He was selected on 20 September 1982 to become a cosmonaut and go into space as part of a joint program between the Indian Air Force and the Soviet Interkosmos space program.",
151,Philology is the,study of bones,study of muscles,study of architecture,science of languages,science of languages,"Philology is the science of languages. Philology, traditionally, the study of the history of language, including the historical study of literary texts.",
152,The 2006 World Cup Football Tournament held in,China,France,Brazil,Germany,Germany,"The 2006 World Cup Football Tournament held in Germany. It was held from 9 June to 9 July 2006 in Germany, which won the right to host the event in July 2000.",
153,Satellite launching station is located at,Sriharikotta (Andhra Pradesh),Salem (Tamilnadu),Solapur (Maharashtra),Warangal (Andhra Pradesh),Sriharikotta (Andhra Pradesh),Satellite launching station is located at Sriharikotta (Andhra Pradesh). Satish Dhawan Space Centre (SDSC) or Sriharikota Range (SHAR) is a rocket launch centre operated by the Indian Space Research Organisation (ISRO). It is located in Sriharikota in Andhra Pradesh. Sriharikota Range was renamed in 2002 after ISRO's former chairman Satish Dhawan.,
154,The 'Black flag' signifies,truce,peace,protest,revolution/danger,protest,The 'Black flag' signifies protest.,
155,Republican party is,One of the important parties in USA,the political parties which has no definite principles,the political party which changes with the change in the times and circumstances in the country,All of the above,All of the above,"Republican party is One of the important parties in USA, the political parties which has no definite principles and is the political party which changes with the change in the times and circumstances in the country.",
156,Study of life in outer space is known as,endbiology,exobiology,neobiology,enterbiology,exobiology,"Study of life in outer space is known as exobiology. This branch of science deals with nature of possible life forms on other planets. It is understanding evolution, distribution, origin, and future of life beyond our Earth. There are a lot of ongoing researches going on about the potential of other life forms in the outer space.",
157,School of Aviation Medicine (Air Force) is located at,Jalahalli,Hyderabad,Bangalore,Allahabad,Bangalore,School of Aviation Medicine (Air Force) is located at Bangalore.,
158,Recession is,slowing down of economic activity over a limited period,"period that results from accumulation of unsold goods, owing to fall in demand","period during which unemployment may rise and demand and output may fall, leading to slump in trade",All of the above,All of the above,"Recession is slowing down of economic activity over a limited period, period that results from accumulation of unsold goods, owing to fall in demand and period during which unemployment may rise and demand and output may fall, leading to slump in trade.",
159,Sir Thomas Fearnley Cup is awarded to,"amateur athlete, not necessarily an Olympian",National Olympic Committee for outstanding work,a club or a local sport association for remarkable achievements,None of the above,a club or a local sport association for remarkable achievements,"Sir Thomas Fearnley Cup is awarded to a club or a local sport association for remarkable achievements. Fearnley became Honorary Member of the IOC 1951. In 1950, he founded the Fearnley Cup to honor an amateur sport club or a local amateur sport association based upon meritorious achievement in the service of the Olympic Movement. He originated the Fearnley Olympic Award in connection with the 1952 Winter Olympics in Oslo. The award is given for outstanding achievements by a Norwegian Olympic participant.",
160,Pythagoras was first to ____ the universal validity of geometrical theorem.,give,both,prove,None of the above,prove,"Pythagoras was first to prove the universal validity of geometrical theorem. He is known best for the proof of the important Pythagorean theorem, which is about right angle triangles.",
161,Soil acidity is generally corrected by,liming,proper irrigation,application of fertilizers,adding sodium hydroxide,liming,"Soil acidity is generally corrected by liming. Soil acidity can be corrected easily by liming the soil, or adding basic materials to neutralize the acid present. The most commonly used liming material is agricultural limestone, the most economical and relatively easy to manage source. The limestone is not very water-soluble, making it easy to handle.",
162,Oscar Awards were instituted in,1960,1929,1903,1964,1929,"Oscar Awards were instituted in 1929. The 1st Academy Awards ceremony, presented by the Academy of Motion Picture Arts and Sciences (AMPAS), honored the best films of 1927 and 1928 and took place on May 16, 1929, at a private dinner held at the Hollywood Roosevelt Hotel in Los Angeles, California.",
163,Small amounts of iodine are necessary in our diet to,prevent pellagra,stimulate pituitary gland,stimulate clotting of blood,compensate for underactive the thyroid gland,compensate for underactive the thyroid gland,"Small amounts of iodine are necessary in our diet to compensate for underactive the thyroid gland. When blood levels of TSH rise, the thyroid gland uses iodine to make thyroid hormones. However, when your body is low in iodine, it can't make enough of them.",
164,Queensland and Northern Territory Aerial Service is an International Airline of,Belgium,Afghanistan,Australia,East Africa,Australia,"Queensland and Northern Territory Aerial Service is an International Airline of Australia. Qantas, in full Qantas Airways Limited, Australian airline, the oldest in the English-speaking world, founded in 1920 as Queensland and Northern Territory Aerial Services Ltd. (from which the name Qantas was derived).",
165,Shaurya Chakra made up of bronze is awarded for,gallantry in the presence of enemy,gallantry otherwise than in the face of the enemy,most conspicuous bravery for some act of self sacrifice,None of the above,gallantry otherwise than in the face of the enemy,"Shaurya Chakra made up of bronze is awarded for gallantry otherwise than in the face of the enemy. The Shaurya Chakra is an Indian military decoration awarded for valour, courageous action or self-sacrifice while not engaged in direct action with the enemy. It may be awarded to civilians as well as military personnel, sometimes posthumously.",
166,Sushri Lata Dinanath Mangeshkar received Bharath Ratna in,2000,2001,2002,2003,2001,"Sushri Lata Dinanath Mangeshkar received Bharath Ratna in 2001. She is one of the best-known and most respected playback singers in India. She has recorded songs in over a thousand Hindi films and has sung songs in over thirty-six regional Indian languages and foreign languages, though primarily in Marathi, Hindi, and Bengali.",
167,Taoism is followed in,Japan,Iran and north-west India,"China, Taiwan, Nauru, Brunei, Singapore and Vietnam",worldwide,"China, Taiwan, Nauru, Brunei, Singapore and Vietnam",Taoism is a Chinese philosophy attributed to Lao Tzu which contributed to the folk religion of the people primarily in the rural areas of China and became the official religion of the country under the Tang Dynasty. Taoism is therefore both a philosophy and a religion. Taoism is also known as Daoism.,
168,The 2005 Wimbledon Women's Singles champion defeated which of the following to win the title?,Mary Pierce,Lindsay Davenport,Maria Sharapova,Serena Williams,Lindsay Davenport,"The 2005 Wimbledon Women's Singles champion defeated Lindsay Davenport to win the title. It was the longest Wimbledon women's final match in history, lasting two hours and 45 minutes.",
169,Sheikh Mujibur Rahman is a well known freedom fighter of,Bangladesh,Pakistan,Indonesia,Afghanistan,Bangladesh,"Sheikh Mujibur Rahman is a well known freedom fighter of Bangladesh. He is often called the father of Bengali nation. He served as the first President of Bangladesh and later as the Prime Minister of Bangladesh from 17 April 1971 until his assassination on 15 August 1975. He is considered to be the driving force behind the independence of Bangladesh. He is popularly dubbed with the title of ""Bangabandhu"" (Bôngobondhu ""Friend of Bengal"") by the people of Bangladesh. He became a leading figure in and eventually the leader of the Awami League, founded in 1949 as an East Pakistan-based political party in Pakistan.",
170,Shares with a fixed rate of dividend that entitle their holders to priority payment over those who hold ordinary shares of a company are called,bear,bull,shareholder,preference shares,preference shares,"Shares with a fixed rate of dividend that entitle their holders to priority payment over those who hold ordinary shares of a company are called preference shares. Preference shares are the shares which promise the holder a fixed dividend, whose payment takes priority over that of ordinary share dividends.",
171,Shankracharya was the founder of,Jainism,Buddhism,Arya Samaj,Advaitic philosophy,Advaitic philosophy,Shankracharya was the founder of Advaitic philosophy. He was an early 8th century Indian philosopher and theologian who consolidated the doctrine of Advaita Vedanta. He is credited with unifying and establishing the main currents of thought in Hinduism.,
172,Sculpture flourished during,Chinese civilization,Indus valley civilization,Egyptian civilization,None of the above,Indus valley civilization,"Sculpture flourished during Indus valley civilization. People from this civilisation created sculpture, seals, pottery, and jewellery from materials, such as terracotta, metal, and stone.",
173,Penicillin is widely used as,an antiseptic,an insecticide,an antibiotic,a disinfectant,an antibiotic,"Penicillin is widely used as an antibiotic. Penicillins are a group of antibacterial drugs that attack a wide range of bacteria. They were the first drugs of this type that doctors used. The discovery and manufacture of penicillins have changed the face of medicine, as these drugs have saved millions of lives.",
174,"Socrates was the wisest man of the ancient world and developed the method of enquiry and instruction, belonged to",Greece,Athens,France,China,Athens,"Socrates was the wisest man of the ancient world and developed the method of enquiry and instruction, belonged to Athens. Socrates was a classical Greek philosopher credited as one of the founders of Western philosophy, and as being the first moral philosopher of the Western ethical tradition of thought.",
175,Richter scale is used for measuring,density of liquid,humidity of air,velocity of wind,intensity of earthquakes,intensity of earthquakes,"Richter scale is used for measuring intensity of earthquakes. The Richter scale measures the maximum amplitude of seismic waves as they reach seismographs. This scale is expressed with a logarithmic scale. Thus, an earthquake measuring 7.0 on the Richter scale would be 10 times larger than an earthquake that measures 6.0.",
176,Prince Charles and Princess Diana of Britain announce their separation in,1990,1991,1996,1997,1996,"Prince Charles and Princess Diana of Britain announce their separation in 1996. In July 1996, the couple agreed on the terms of their divorce.",
177,Paleontology is a branch of science that deals with the,behavior of animals,formation of new stars,origin and growth of plants,forms of life as revealed by fossils of animals or plants,forms of life as revealed by fossils of animals or plants,"Paleontology is a branch of science that deals with the forms of life as revealed by fossils of animals or plants. Paleontology is the study of the history of life on Earth as based on fossils. Fossils are the remains of plants, animals, fungi, bacteria, and single-celled living things that have been replaced by rock material or impressions of organisms preserved in rock.",
178,Sir Humphry Davy was a British chemist who,invented the safety lamp for miners,discovered the anesthetic properties of nitrous oxide,both (A) and (B),None of the above,both (A) and (B),"Sir Humphry Davy was a British chemist who invented the safety lamp for miners and discovered the anesthetic properties of nitrous oxide. He was an English chemist who discovered several chemical elements (including sodium and potassium) and compounds, invented the miner's safety lamp, and became one of the greatest exponents of the scientific method.",
179,"Sonia Nazario of ""Los Angeles Times"" was awarded Pulitzer Prize in 2003 for",music,editorial writing,commentary,feature writing,feature writing,"Sonia Nazario of ""Los Angeles Times"" was awarded Pulitzer Prize in 2003 for feature writing. The story was awarded the 2003 Pulitzer Prize for feature writing and later became a book.",
180,Soil is formed from the parent rock material by,chemical decomposition,physical decomposition,biological decomposition,All of the above,All of the above,"Soil is formed from the parent rock material by chemical decomposition, physical decomposition and biological decomposition.",
181,The air we inhale is mixture of gases. Which of the following gases in the mixture is highest in percentage?,Ozone,Oxygen,Nitrogen,Carbon dioxide,Nitrogen,"The air we inhale is mixture of gases. Nitrogen of the following gases in the mixture is highest in percentage. Inhaled air is by volume 78.08% nitrogen, 20.95% oxygen and small amounts include argon, carbon dioxide, neon, helium, and hydrogen.",
182,Oxford university was founded in,1139 AD,1163 AD,215 BC,55 BC,1163 AD,"Oxford university was founded in 1163 AD. The University of Oxford is a collegiate research university in Oxford, England.",
183,The American General who led the revolt against the British and declared American independence was,George Washington,George Bush,Bill Clinton,None of the above,George Washington,The American General who led the revolt against the British and declared American independence was George Washington.,
184,Regular meetings of Trusteeship Council (UNO) are held,once a year,twice a year,thrice a year,four times a year,twice a year,"Regular meetings of Trusteeship Council (UNO) are held twice a year. The United Nations Trusteeship Council is one of the six principal organs of the United Nations, established to help ensure that trust territories were administered in the best interests of their inhabitants and of international peace and security.",
